gene,PacBio,TAGET
DOCK11,9.73350334396118,5.77411016951762
RNF13,43.9790726928068,39.1940202753585
RAP1A,11.6651438897226,8.315977906107
PCBP2,71.9910490754304,75.0750234664265
PPP4R4,3.89470589784038,2.78044453263818
SNAI2,6.7615145244863,5.86232118022488
ROR1,3.68597928072863,3.09822368416544
MKKS,26.1448736302572,22.7140881622032
EOGT,7.72698733868027,5.9313626480498
CA8,3.50853472584204,2.21671550913167
GAS2L1,5.30348937561785,4.34484065489117
RTL6,7.00766061323199,3.20919641507038
MCM3,68.2232553457067,60.3554003716312
PLXNB2,28.3026259127728,21.3844009524267
GPAA1,39.8692398785321,42.7929188120902
DNAJC10,116.249172449809,102.541103995193
DDR1,10.1103570514925,6.68373497735608
PIK3R1,28.0000707276804,19.6818801496199
DRAM1,23.2504665013829,23.1679730472764
POF1B,3.69572986281335,2.43955321618599
NUCKS1,26.1003406911383,20.6299697809925
KSR1,3.70907764259179,2.68234999569709
CD84,3.70914218373678,2.39050594771544
RARG,6.61234562993788,6.14259403589101
TNFSF11,3.68615827568189,2.74895170292012
CAVIN2,3.72255450466021,2.95483158103278
CAST,77.7552102262048,67.2889160199825
DHX15,97.93477142684,95.7396057481387
AKAP9,14.960765761461,6.66669765428313
AK2,102.686016260924,90.719560175097
CD46,173.787609808741,160.223717449081
LURAP1L,3.31018204714031,3.45880916527174
ADCY7,8.14225811041816,5.13915303644094
SIAE,15.8103177881479,12.769685958086
RAB34,6.30021936983492,5.16047545679513
SH3D19,5.10513669691612,4.18833516776287
TPI1,33.0323081096989,29.4956884274023
CEP170,30.0865494796456,19.1013310233264
CYP2U1,21.7110214310603,19.6483424098929
SSBP2,7.14561384473757,5.75834144409967
CITED2,19.9609414315469,17.9647379942519
PLOD2,33.702697834473,26.1192807529857
TTC7A,7.23683526773053,5.10589700170754
RUNX1,9.77138918009881,2.97551073730759
FUCA2,19.1228564074033,17.1585826676483
SDHA,110.932709353286,98.827499005554
TTC5,12.7120843620878,11.3882640774236
NANP,16.3257504737852,13.5370875234375
SCFD2,43.7215738009724,36.532270232549
VPS39,27.8796524058001,20.1201293314009
CLCN7,20.3676577271113,16.4206309719737
SLC3A2,73.4721233474621,68.1333974067718
HMGA1,70.6047777191522,61.7040488617588
CEP41,25.5478681023155,19.8631554919754
PCYOX1,23.7796365455342,17.2035793677128
TLR3,5.26200843751013,4.12679162186962
NT5DC1,29.0063611533386,24.9989748176107
PTPRE,5.70961029235939,4.38503221766324
CDCA7L,14.8035007440804,11.9398005483159
DEPDC1B,14.8871576607687,12.5251768492492
DOLK,14.7854019396405,13.9380738573553
ENO2,74.7854860137023,70.4094342482155
CASP7,22.5423963455011,21.1970333360204
CSF2RA,3.2697017904221,2.4346938155918
BTBD1,22.6584012747015,21.5387150790086
MTHFD1,145.427233551751,127.250395412606
GPR132,3.44127896569008,2.95844762881971
ITM2A,3.46419833259998,2.53733198365299
MTMR6,52.5763873907657,46.4971160037063
LEPROT,21.6648061308948,18.6857315625498
MEF2A,59.5781087384129,44.6169167834508
FZD7,4.8703523663855,2.81301558885754
CYBRD1,38.1680991126621,29.0330028048737
SLC25A46,47.227533569568,39.4028383765029
LIN54,7.39024744266651,9.05337533589542
GTPBP4,86.8734116081162,75.2387471761538
CXCL8,7.14187162207967,6.97785395037774
RHOJ,3.15475614176967,2.60102694371915
PTBP3,41.155607269976,23.0622630834699
SUMF1,10.0823551591266,8.54005849273054
ZNF398,14.4155107883231,9.20441547113606
STK32A,3.20257594832654,2.06811867316376
USP3,31.2391664142251,26.0709562608051
EIF4G1,126.121165562811,101.067259742297
N4BP3,3.44518424062703,3.66417522639422
NUP155,24.6444710605731,19.6704633642372
EDN1,3.37812263600989,2.90971612982324
ADH5,32.1116004634457,26.6336647680472
UBE2K,38.4531310663108,29.3925280889783
TNIP2,8.431425449556,9.06935903775176
LIG1,20.3363967273257,15.8303902900701
DIAPH1,21.9955691378423,16.0842058081285
UBASH3B,4.89835425875148,3.04082153631671
SPRY2,4.89783194433849,4.23150912081457
VAPB,15.0615282283362,12.2069849312815
ATXN2L,15.3645864988454,11.3524629387273
WDR5B,8.3795756513516,6.08075229068792
HEY1,64.3054323043017,60.3520334807042
SGO2,16.2003144932256,11.1845257821966
ATPAF1,26.1425380112257,23.3914752360826
LRPPRC,179.325122616088,142.778313598149
TSPAN13,3.0985065757499,2.44452145659084
FOS,7.14379582427957,6.32524256788285
LMLN,6.64108922149176,4.66485666859313
CSRNP1,13.4072381518158,12.8798070458519
PACSIN3,4.71737297762775,4.46168028633018
UBXN4,68.5552574839862,59.8734013344467
MICALL2,3.22188198386524,2.05433670658452
ST6GALNAC3,7.09571980067409,6.1959775464829
IGFBP7,3.10448981859993,2.81109659901889
TAF4B,16.5527724689867,10.2975999135073
CD200,26.506905764038,27.8531539701911
CCT5,101.102799998675,87.6293153246125
PSME3,109.666549492401,98.4195326338021
GNAS,20.1430038267322,23.604488216512
PON2,12.1512783865065,13.3334832099279
DDX1,142.856299012444,128.396257286896
SPTLC1,74.3430664649237,67.024495996211
DDX50,25.9508432305453,24.4882221200346
TTC37,52.1865076658088,40.8314891176417
C3orf70,2.99199068656039,1.99885354857444
RAB6B,2.99443720317327,2.05829103216472
UACA,6.04189857725379,4.11161419601606
PTMA,44.9790029008488,40.9732749953406
RRAS2,19.8632411055527,17.8840931554053
STK17A,34.4611784566499,29.7222968583269
MEX3C,13.1483689117775,12.1649082381942
NSD2,15.052244377839,9.91580675128303
WNT10A,3.23663661846855,3.18188194568485
CORO2A,4.56801984334189,3.45485483969154
ATP2A3,5.09053752429193,3.08771922600477
CDC23,46.807676606604,37.9452781472774
CMPK2,23.5484875942658,19.3361272407888
GBE1,65.557846185003,55.5059864179319
OSBPL3,12.0751827792421,12.9732189231195
PER3,9.39016091068494,5.38983259628906
FGF13,2.93574112054062,2.28010731830214
SESN2,31.5093042924394,26.4759432275881
SLC4A2,9.07577237363964,7.22002200870108
GALNT18,3.17732102258033,3.13495847058185
MSRB3,5.80105716389207,3.8936749331123
CDK6,28.8990751665963,15.3034089331335
FCGR2A,4.55653172461836,3.94414292897744
MAN1A1,3.1868280685668,2.15132521599126
ZNF330,29.0592703123504,27.2355607977111
SLC26A11,4.45298466645472,3.21958663019011
PRCP,23.8829839379882,18.1592367100747
GRN,101.379148953241,103.960615822408
MCCC1,51.2126910104166,43.9080178473151
RNF2,23.9795673341144,18.6125232676598
SHCBP1,34.0532894043407,27.9800577134659
C11orf54,15.2582809422396,13.3932819587242
SMAP2,6.48327247035032,4.86887090918916
STX7,111.486190031292,101.028621916539
PIP5K1A,86.4541169376105,76.3075136059965
MMP11,2.87704503790796,1.88788723255427
EHD2,4.47971978006682,3.60981683863758
HMGB2,8.57470964029517,6.61672173876203
CD58,11.6578924865354,10.9047336188103
ZNF549,6.66419531547899,4.38883633781704
SRGAP2,7.63175135007889,10.6204836110516
ZNF74,8.67630882146065,6.65158928050091
STON1,2.89281434720952,1.94732471614455
NELFCD,49.9065065528393,50.2156203090898
GSK3B,40.2811405001834,33.6843941230548
LRRC4C,3.11800542669211,3.58969073883417
SIPA1L1,7.01345370226481,8.19105736140644
HLA-A,24.6169553832114,23.9895337804291
PADI2,3.18116175637229,2.13377077723877
VMA21,77.430381587163,58.3723481649226
TMOD1,7.46064995088086,7.14387423562888
SUPT16H,122.272217944247,99.9431136825923
SKAP1,3.15616269292797,3.32870798162241
SRPRA,121.601886894292,109.418301774078
DGCR2,28.034270810966,26.1808992871724
MGLL,4.74496413163963,3.11890744152821
ST13,103.640269664663,86.4919837833926
KLF5,2.83656478118975,1.84234806144613
SERPINB2,2.8292252313511,2.64464712498864
SPDL1,16.9078188528129,16.6374270923175
CNDP2,58.7157645948059,54.020362363049
WDR26,13.3986764925088,5.75772002718284
TESPA1,3.10849838070564,3.19943638443734
LNX2,19.6111972047014,16.3203819935871
SDC1,5.68685321442755,3.64356392046689
GRK6,9.57925368041785,7.79530611765781
RABEP1,80.9738046919275,65.9826304882183
CYTH3,35.0591042048891,31.9377276079991
TMEM167A,37.2222996085572,30.8852731043518
SLC18B1,12.6516532224476,12.2738328035881
SPOP,42.7853592007982,41.7307602643068
YIPF6,12.8341144059154,8.78792952700585
CKAP4,27.7711764059384,24.5111985135873
GPBP1,39.4409564857998,38.0399839851395
CADM4,2.77297566533133,1.94732471614455
TMC8,4.68564853575141,3.92633446855127
TRAF3IP2,17.6633131681872,17.1744010048962
FLNA,81.7438087721486,52.0812375351012
PTK7,5.47316926509537,3.21759675288971
RAF1,49.7590876785296,39.9898583056602
IK,57.9303380815683,51.957772673197
GGA3,15.8792494293855,13.8517590665924
ARHGEF1,17.1645941653733,14.5627590887156
PCBP4,5.70506904034199,6.34814679148986
VLDLR,14.5020223399109,9.61404665673922
PRKCI,28.821683811768,21.7673128269081
HRK,2.77052914871845,1.94337039056436
ANLN,53.2813914475542,38.7738203661254
NAB2,18.1519816477715,16.4834416754956
KBTBD6,14.5158920870643,11.6609002674524
FAM81A,4.78123127832797,3.54214688006246
RPL3,57.3124944811484,53.5555104062341
LIX1L,72.5423877131683,60.2198978057178
RIPK1,14.621581654286,13.5374152855143
AMD1,152.685070789735,133.42167993021
MOSPD2,25.6747482406242,22.2632587376239
LHFPL2,25.3300720848658,25.2184577443691
IMPACT,14.221677645321,11.9822296976874
